<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;25.09.2018;13:39:00;115100.0000000;115140.0000000;115080.0000000;115110.0000000;468
SPFB.RTS-12.18;1;25.09.2018;13:40:00;115120.0000000;115160.0000000;115100.0000000;115160.0000000;811
SPFB.RTS-12.18;1;25.09.2018;13:41:00;115150.0000000;115200.0000000;115150.0000000;115180.0000000;523
SPFB.RTS-12.18;1;25.09.2018;13:42:00;115170.0000000;115190.0000000;115110.0000000;115110.0000000;530
SPFB.RTS-12.18;1;25.09.2018;13:43:00;115120.0000000;115130.0000000;115100.0000000;115100.0000000;203
SPFB.RTS-12.18;1;25.09.2018;13:44:00;115110.0000000;115170.0000000;115100.0000000;115150.0000000;652
SPFB.RTS-12.18;1;25.09.2018;13:45:00;115140.0000000;115160.0000000;115110.0000000;115130.0000000;168
SPFB.RTS-12.18;1;25.09.2018;13:46:00;115130.0000000;115180.0000000;115120.0000000;115170.0000000;230
SPFB.RTS-12.18;1;25.09.2018;13:47:00;115180.0000000;115270.0000000;115160.0000000;115270.0000000;761
SPFB.RTS-12.18;1;25.09.2018;13:48:00;115260.0000000;115320.0000000;115230.0000000;115260.0000000;901
SPFB.RTS-12.18;1;25.09.2018;13:49:00;115260.0000000;115270.0000000;115230.0000000;115240.0000000;241
SPFB.RTS-12.18;1;25.09.2018;13:50:00;115240.0000000;115280.0000000;115240.0000000;115270.0000000;199
SPFB.RTS-12.18;1;25.09.2018;13:51:00;115250.0000000;115320.0000000;115250.0000000;115270.0000000;657
SPFB.RTS-12.18;1;25.09.2018;13:52:00;115270.0000000;115290.0000000;115250.0000000;115270.0000000;545
SPFB.RTS-12.18;1;25.09.2018;13:53:00;115280.0000000;115290.0000000;115220.0000000;115270.0000000;820
SPFB.RTS-12.18;1;25.09.2018;13:54:00;115260.0000000;115310.0000000;115240.0000000;115280.0000000;454
SPFB.RTS-12.18;1;25.09.2018;13:55:00;115290.0000000;115310.0000000;115250.0000000;115250.0000000;432
SPFB.RTS-12.18;1;25.09.2018;13:56:00;115250.0000000;115260.0000000;115210.0000000;115210.0000000;275
