25.09 Open,25.09 Close,25.09 Low,25.09 High,25.10 Open,25.10 Close,25.10 Low,25.10 High,23.11 Open,23.11 Close,23.11 Low,23.11 High,04.12 Open,04.12 Close,04.12 Low,04.12 High
115350.0000053,115740.0000053,115320.0000053,115540.0000053,110980.0000000,110980.0000000,110920.0000000,110930.0000000,112770.0000000,112820.0000000,112760.0000000,112780.0000000,115020.0000000,115020.0000000,114930.0000000,114930.0000000
115350.0000054,115740.0000054,115320.0000054,115540.0000054,110950.0000000,110990.0000000,110930.0000000,110930.0000000,112780.0000000,112840.0000000,112750.0000000,112810.0000000,114930.0000000,114980.0000000,114910.0000000,114930.0000000
115350.0000055,115740.0000055,115320.0000055,115540.0000055,110920.0000000,110930.0000000,110830.0000000,110870.0000000,112810.0000000,112810.0000000,112750.0000000,112780.0000000,114920.0000000,114930.0000000,114870.0000000,114920.0000000
115350.0000056,115740.0000056,115320.0000056,115540.0000056,110880.0000000,110910.0000000,110820.0000000,110830.0000000,112780.0000000,112790.0000000,112760.0000000,112770.0000000,114920.0000000,114940.0000000,114890.0000000,114920.0000000
115350.0000057,115740.0000057,115320.0000057,115540.0000057,110830.0000000,110850.0000000,110680.0000000,110690.0000000,112780.0000000,112820.0000000,112760.0000000,112820.0000000,114920.0000000,114920.0000000,114870.0000000,114890.0000000
115350.0000058,115740.0000058,115320.0000058,115540.0000058,110690.0000000,110760.0000000,110690.0000000,110730.0000000,112800.0000000,112810.0000000,112720.0000000,112780.0000000,114880.0000000,114910.0000000,114840.0000000,114870.0000000
115350.0000059,115740.0000059,115320.0000059,115540.0000059,110740.0000000,110740.0000000,110670.0000000,110670.0000000,112770.0000000,112780.0000000,112730.0000000,112770.0000000,114860.0000000,114900.0000000,114830.0000000,114830.0000000
115350.000006,115740.000006,115320.000006,115540.000006,110670.0000000,110730.0000000,110620.0000000,110730.0000000,112770.0000000,112810.0000000,112730.0000000,112740.0000000,114850.0000000,115010.0000000,114820.0000000,114990.0000000
115350.0000061,115740.0000061,115320.0000061,115540.0000061,110730.0000000,110760.0000000,110710.0000000,110710.0000000,112740.0000000,112790.0000000,112730.0000000,112760.0000000,114990.0000000,115010.0000000,114930.0000000,115000.0000000
115350.0000062,115740.0000062,115320.0000062,115540.0000062,110710.0000000,110780.0000000,110690.0000000,110730.0000000,112750.0000000,112760.0000000,112680.0000000,112730.0000000,115000.0000000,115050.0000000,114980.0000000,115020.0000000
115350.0000063,115740.0000063,115320.0000063,115540.0000063,110730.0000000,110750.0000000,110690.0000000,110720.0000000,112740.0000000,112750.0000000,112690.0000000,112730.0000000,115030.0000000,115040.0000000,114990.0000000,115040.0000000
115350.0000064,115740.0000064,115320.0000064,115540.0000064,110710.0000000,110740.0000000,110670.0000000,110720.0000000,112730.0000000,112730.0000000,112680.0000000,112680.0000000,115040.0000000,115080.0000000,115020.0000000,115080.0000000
115350.0000065,115740.0000065,115320.0000065,115540.0000065,110720.0000000,110720.0000000,110670.0000000,110690.0000000,112690.0000000,112700.0000000,112540.0000000,112610.0000000,115060.0000000,115100.0000000,115010.0000000,115100.0000000
